OrgName, SpaceName, SpaceMemoryUsed, OrgMemoryQuota, AppsDeployed, AppsRunning, AppInstancesDeployed, AppInstancesRunning
system, system, 6912, 102400, 12, 6, 28, 14
system, notifications-with-ui, 128, 102400, 1, 1, 2, 2
system, autoscaling, 1792, 102400, 2, 2, 4, 4
system, nfs, 256, 102400, 1, 1, 1, 1
system, smb, 256, 102400, 1, 1, 1, 1
system, pivotal-services, 0, 102400, 0, 0, 0, 0
system, rmq-smoke-tests-1-SPACE-ab7e3aaa365c70bc, 0, 102400, 0, 0, 0, 0
system, rmq-smoke-tests-1-SPACE-1787e9eb000ef38b, 0, 102400, 0, 0, 0, 0
system, app-metrics-v2, 4096, 102400, 1, 1, 1, 1
system, metric-registrar-monitor, 0, 102400, 0, 0, 0, 0
system, rmq-smoke-tests-1-SPACE-f3ac8866c90f62cf, 0, 102400, 0, 0, 0, 0
system, scheduler, 6912, 102400, 2, 2, 6, 6
system, p-dataflow, 2048, 102400, 1, 1, 1, 1
system, healthwatch2, 0, 102400, 0, 0, 0, 0
p-spring-cloud-services, instances, 0, 132096, 0, 0, 0, 0
p-spring-cloud-services, 8a120347-9250-4b49-a43c-fe7553c4bc0c, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 3a1fcf26-9e2d-4c3f-804d-117aaa806c87, 2048, 132096, 1, 1, 2, 2
p-spring-cloud-services, 4888896a-cc3b-4af6-97de-14f6ef5ea72f, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, af6afbd3-7980-40eb-b5aa-7ea77ad59208, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 6285bb36-d2a8-4474-8772-5ea8de7d5db2, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, b19c512c-3e5a-4a5a-a0c0-e45faa653770, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 11cc4593-fae0-48c7-a3df-3bd8f84ae813, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 232fce3d-6670-4b66-973c-23e3733762b9, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, d6ee21a2-073f-455a-a7cb-7f4c06e2d094, 3072, 132096, 1, 1, 3, 3
p-spring-cloud-services, ace63dcf-7519-4d33-a3c1-b2fb7c3a072c, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 90f4f0c4-846c-4208-a869-49fc30705511, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 6fb6d8dc-ded6-4c05-9368-80c0b954b784, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 27d9cd40-fa2a-4459-82cd-063a9f7278ce, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 33e24dae-e3b1-440f-958c-4fcd7146c244, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 4629de23-dad7-4b7c-9b0b-d4e913190142, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, d0e27c41-f9a4-49ef-b2de-44a1633c0202, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, f6ab0a4e-4a01-4137-b591-b6ba75d5b49e, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 2e7ce77c-ffb9-448f-9e7f-7e2381768983, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, bc8a46c4-bbae-42cc-96f5-37963184c18a, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 1c4b6169-f480-4a25-bcbc-4a1ecc63bd7f, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 752f62b6-cb89-4e1c-a913-a3351e5d97cf, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 485ff314-4d7c-408c-9588-f6e99bad8eb1, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, b9d02ffc-af1d-4bb3-a7fe-e9a2f006b3c9, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 8734669d-5b2b-46bb-bcff-bb6758abf514, 1024, 132096, 1, 1, 1, 1
p-spring-cloud-services, 711cd6a1-99b1-4ff4-8a3e-0c5b30282ec4, 1024, 132096, 1, 1, 1, 1
